Fecha;Reservorio;Agua Caída (mm)
15-02-2025;Canutillar;0.00
16-02-2025;Canutillar;0.00
17-02-2025;Canutillar;0.00
18-02-2025;Canutillar;0.00
19-02-2025;Canutillar;0.00
20-02-2025;Canutillar;0.00
21-02-2025;Canutillar;0.00
22-02-2025;Canutillar;44.00
23-02-2025;Canutillar;21.50
24-02-2025;Canutillar;0.00
25-02-2025;Canutillar;0.00
26-02-2025;Canutillar;0.00
27-02-2025;Canutillar;4.00
28-02-2025;Canutillar;8.00
01-03-2025;Canutillar;0.00
02-03-2025;Canutillar;18.00
03-03-2025;Canutillar;1.00
04-03-2025;Canutillar;15.00
05-03-2025;Canutillar;7.00
06-03-2025;Canutillar;39.00
07-03-2025;Canutillar;11.50
08-03-2025;Canutillar;9.00
09-03-2025;Canutillar;13.50
10-03-2025;Canutillar;8.50
11-03-2025;Canutillar;2.50
12-03-2025;Canutillar;0.00
13-03-2025;Canutillar;0.00
14-03-2025;Canutillar;0.00
15-03-2025;Canutillar;0.00
16-03-2025;Canutillar;0.00
17-03-2025;Canutillar;0.00
18-03-2025;Canutillar;0.00
19-03-2025;Canutillar;0.00
20-03-2025;Canutillar;0.00
21-03-2025;Canutillar;0.00
22-03-2025;Canutillar;0.00
23-03-2025;Canutillar;0.00
24-03-2025;Canutillar;0.00
25-03-2025;Canutillar;0.00
26-03-2025;Canutillar;0.00
27-03-2025;Canutillar;1.00
28-03-2025;Canutillar;5.50
29-03-2025;Canutillar;8.00
30-03-2025;Canutillar;26.50
31-03-2025;Canutillar;2.50
01-04-2025;Canutillar;0.00
02-04-2025;Canutillar;19.00
03-04-2025;Canutillar;0.00
04-04-2025;Canutillar;0.00
05-04-2025;Canutillar;0.00
06-04-2025;Canutillar;0.00
07-04-2025;Canutillar;0.00
08-04-2025;Canutillar;0.00
09-04-2025;Canutillar;12.00
10-04-2025;Canutillar;9.00
11-04-2025;Canutillar;21.00
12-04-2025;Canutillar;0.00
13-04-2025;Canutillar;3.50
14-04-2025;Canutillar;15.00
15-04-2025;Canutillar;0.00
16-04-2025;Canutillar;21.50
17-04-2025;Canutillar;15.00
18-04-2025;Canutillar;1.00
19-04-2025;Canutillar;0.00
20-04-2025;Canutillar;44.00
21-04-2025;Canutillar;28.50
22-04-2025;Canutillar;50.00
23-04-2025;Canutillar;0.00
24-04-2025;Canutillar;42.50
25-04-2025;Canutillar;25.00
26-04-2025;Canutillar;27.00
27-04-2025;Canutillar;0.00
28-04-2025;Canutillar;0.00
29-04-2025;Canutillar;0.50
30-04-2025;Canutillar;13.00
01-05-2025;Canutillar;13.50
02-05-2025;Canutillar;27.50
03-05-2025;Canutillar;35.00
04-05-2025;Canutillar;1.00
05-05-2025;Canutillar;0.00
06-05-2025;Canutillar;26.00
07-05-2025;Canutillar;54.00
08-05-2025;Canutillar;41.00
09-05-2025;Canutillar;11.00
10-05-2025;Canutillar;2.50
11-05-2025;Canutillar;0.00
12-05-2025;Canutillar;0.00
13-05-2025;Canutillar;30.00
14-05-2025;Canutillar;6.50
15-05-2025;Canutillar;12.50
16-05-2025;Canutillar;45.00
17-05-2025;Canutillar;36.00
18-05-2025;Canutillar;7.00
19-05-2025;Canutillar;37.50
20-05-2025;Canutillar;1.00
21-05-2025;Canutillar;16.50
22-05-2025;Canutillar;0.00
23-05-2025;Canutillar;5.50
24-05-2025;Canutillar;0.00
25-05-2025;Canutillar;32.00
26-05-2025;Canutillar;14.50
27-05-2025;Canutillar;1.50
28-05-2025;Canutillar;0.00
29-05-2025;Canutillar;15.00
30-05-2025;Canutillar;5.00
31-05-2025;Canutillar;0.00
01-06-2025;Canutillar;40.00
02-06-2025;Canutillar;33.50
03-06-2025;Canutillar;42.00
04-06-2025;Canutillar;0.00
05-06-2025;Canutillar;0.00
06-06-2025;Canutillar;0.00
07-06-2025;Canutillar;0.00
08-06-2025;Canutillar;0.00
09-06-2025;Canutillar;0.00
10-06-2025;Canutillar;0.00
11-06-2025;Canutillar;1.00
12-06-2025;Canutillar;13.50
13-06-2025;Canutillar;6.00
14-06-2025;Canutillar;54.00
15-06-2025;Canutillar;27.50
16-06-2025;Canutillar;11.00
17-06-2025;Canutillar;8.50
18-06-2025;Canutillar;0.00
19-06-2025;Canutillar;31.50
20-06-2025;Canutillar;6.50
21-06-2025;Canutillar;61.50
22-06-2025;Canutillar;2.00
23-06-2025;Canutillar;7.50
24-06-2025;Canutillar;28.50
25-06-2025;Canutillar;22.50
26-06-2025;Canutillar;42.50
27-06-2025;Canutillar;3.50
28-06-2025;Canutillar;0.00
29-06-2025;Canutillar;0.00
30-06-2025;Canutillar;0.00
01-07-2025;Canutillar;0.00
02-07-2025;Canutillar;17.00
03-07-2025;Canutillar;11.00
04-07-2025;Canutillar;2.00
05-07-2025;Canutillar;0.00
06-07-2025;Canutillar;3.00
08-07-2025;Canutillar;1.50
09-07-2025;Canutillar;0.00
10-07-2025;Canutillar;0.00
11-07-2025;Canutillar;0.00
12-07-2025;Canutillar;0.00
13-07-2025;Canutillar;0.00
14-07-2025;Canutillar;4.00
15-07-2025;Canutillar;15.00
16-07-2025;Canutillar;0.00
17-07-2025;Canutillar;0.00
18-07-2025;Canutillar;26.00
19-07-2025;Canutillar;0.00
20-07-2025;Canutillar;0.00
21-07-2025;Canutillar;0.00
22-07-2025;Canutillar;0.00
23-07-2025;Canutillar;0.00
24-07-2025;Canutillar;17.50
25-07-2025;Canutillar;11.00
26-07-2025;Canutillar;0.00
27-07-2025;Canutillar;7.50
28-07-2025;Canutillar;81.00
29-07-2025;Canutillar;89.50
30-07-2025;Canutillar;63.00
31-07-2025;Canutillar;17.00
01-08-2025;Canutillar;23.00
02-08-2025;Canutillar;24.50
03-08-2025;Canutillar;9.00
04-08-2025;Canutillar;7.50
05-08-2025;Canutillar;19.00
06-08-2025;Canutillar;2.00
07-08-2025;Canutillar;0.00
08-08-2025;Canutillar;0.00
09-08-2025;Canutillar;0.00
10-08-2025;Canutillar;66.00
11-08-2025;Canutillar;138.00
12-08-2025;Canutillar;6.00
13-08-2025;Canutillar;0.00
14-08-2025;Canutillar;0.00
15-08-2025;Canutillar;0.00
16-08-2025;Canutillar;1.50
17-08-2025;Canutillar;0.00
18-08-2025;Canutillar;0.00
19-08-2025;Canutillar;23.50
20-08-2025;Canutillar;8.50
21-08-2025;Canutillar;23.00
22-08-2025;Canutillar;13.50
23-08-2025;Canutillar;39.50
24-08-2025;Canutillar;73.00
25-08-2025;Canutillar;4.50
26-08-2025;Canutillar;0.00
27-08-2025;Canutillar;0.00
28-08-2025;Canutillar;0.00
29-08-2025;Canutillar;0.00
30-08-2025;Canutillar;0.00
31-08-2025;Canutillar;3.00
01-09-2025;Canutillar;11.00
02-09-2025;Canutillar;10.00
03-09-2025;Canutillar;17.00
04-09-2025;Canutillar;0.00
05-09-2025;Canutillar;0.00
06-09-2025;Canutillar;0.00
07-09-2025;Canutillar;1.00
08-09-2025;Canutillar;12.00
09-09-2025;Canutillar;29.50
10-09-2025;Canutillar;20.50
